"Notes"	"Residence County"	"Residence County Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Dale County, AL"	"01045"	"Feb., 2022 (provisional)"	"2022/02"	57	Not Applicable	Not Applicable
	"Dale County, AL"	"01045"	"Mar., 2022 (provisional)"	"2022/03"	48	Not Applicable	Not Applicable
	"Dale County, AL"	"01045"	"Apr., 2022 (provisional and partial)"	"2022/04"	27	Not Applicable	Not Applicable
	"Dallas County, AL"	"01047"	"Jan., 2022 (provisional)"	"2022/01"	62	Not Applicable	Not Applicable
	"Dallas County, AL"	"01047"	"Feb., 2022 (provisional)"	"2022/02"	44	Not Applicable	Not Applicable
	"Dallas County, AL"	"01047"	"Mar., 2022 (provisional)"	"2022/03"	37	Not Applicable	Not Applicable
	"Dallas County, AL"	"01047"	"Apr., 2022 (provisional and partial)"	"2022/04"	15	Not Applicable	Not Applicable
	"DeKalb County, AL"	"01049"	"Jan., 2022 (provisional)"	"2022/01"	97	Not Applicable	Not Applicable
	"DeKalb County, AL"	"01049"	"Feb., 2022 (provisional)"	"2022/02"	90	Not Applicable	Not Applicable
	"DeKalb County, AL"	"01049"	"Mar., 2022 (provisional)"	"2022/03"	72	Not Applicable	Not Applicable
	"DeKalb County, AL"	"01049"	"Apr., 2022 (provisional and partial)"	"2022/04"	26	Not Applicable	Not Applicable
	"Elmore County, AL"	"01051"	"Jan., 2022 (provisional)"	"2022/01"	114	Not Applicable	Not Applicable
	"Elmore County, AL"	"01051"	"Feb., 2022 (provisional)"	"2022/02"	107	Not Applicable	Not Applicable
	"Elmore County, AL"	"01051"	"Mar., 2022 (provisional)"	"2022/03"	72	Not Applicable	Not Applicable
	"Elmore County, AL"	"01051"	"Apr., 2022 (provisional and partial)"	"2022/04"	37	Not Applicable	Not Applicable
	"Escambia County, AL"	"01053"	"Jan., 2022 (provisional)"	"2022/01"	62	Not Applicable	Not Applicable
	"Escambia County, AL"	"01053"	"Feb., 2022 (provisional)"	"2022/02"	45	Not Applicable	Not Applicable
	"Escambia County, AL"	"01053"	"Mar., 2022 (provisional)"	"2022/03"	34	Not Applicable	Not Applicable
	"Etowah County, AL"	"01055"	"Jan., 2022 (provisional)"	"2022/01"	212	Not Applicable	Not Applicable
	"Etowah County, AL"	"01055"	"Feb., 2022 (provisional)"	"2022/02"	179	Not Applicable	Not Applicable
	"Etowah County, AL"	"01055"	"Mar., 2022 (provisional)"	"2022/03"	136	Not Applicable	Not Applicable
	"Etowah County, AL"	"01055"	"Apr., 2022 (provisional and partial)"	"2022/04"	47	Not Applicable	Not Applicable
	"Fayette County, AL"	"01057"	"Jan., 2022 (provisional)"	"2022/01"	32	Not Applicable	Not Applicable
	"Fayette County, AL"	"01057"	"Feb., 2022 (provisional)"	"2022/02"	22	Not Applicable	Not Applicable
	"Fayette County, AL"	"01057"	"Mar., 2022 (provisional)"	"2022/03"	23	Not Applicable	Not Applicable
	"Franklin County, AL"	"01059"	"Jan., 2022 (provisional)"	"2022/01"	46	Not Applicable	Not Applicable
	"Franklin County, AL"	"01059"	"Feb., 2022 (provisional)"	"2022/02"	55	Not Applicable	Not Applicable
	"Franklin County, AL"	"01059"	"Mar., 2022 (provisional)"	"2022/03"	41	Not Applicable	Not Applicable
	"Franklin County, AL"	"01059"	"Apr., 2022 (provisional and partial)"	"2022/04"	15	Not Applicable	Not Applicable
	"Geneva County, AL"	"01061"	"Jan., 2022 (provisional)"	"2022/01"	36	Not Applicable	Not Applicable
	"Geneva County, AL"	"01061"	"Feb., 2022 (provisional)"	"2022/02"	50	Not Applicable	Not Applicable
	"Geneva County, AL"	"01061"	"Mar., 2022 (provisional)"	"2022/03"	36	Not Applicable	Not Applicable
	"Greene County, AL"	"01063"	"Feb., 2022 (provisional)"	"2022/02"	15	Not Applicable	Not Applicable
	"Greene County, AL"	"01063"	"Mar., 2022 (provisional)"	"2022/03"	11	Not Applicable	Not Applicable
	"Hale County, AL"	"01065"	"Jan., 2022 (provisional)"	"2022/01"	29	Not Applicable	Not Applicable
	"Hale County, AL"	"01065"	"Feb., 2022 (provisional)"	"2022/02"	26	Not Applicable	Not Applicable
	"Hale County, AL"	"01065"	"Mar., 2022 (provisional)"	"2022/03"	20	Not Applicable	Not Applicable
	"Hale County, AL"	"01065"	"Apr., 2022 (provisional and partial)"	"2022/04"	12	Not Applicable	Not Applicable
	"Henry County, AL"	"01067"	"Jan., 2022 (provisional)"	"2022/01"	20	Not Applicable	Not Applicable
	"Henry County, AL"	"01067"	"Feb., 2022 (provisional)"	"2022/02"	26	Not Applicable	Not Applicable
	"Henry County, AL"	"01067"	"Mar., 2022 (provisional)"	"2022/03"	25	Not Applicable	Not Applicable
	"Houston County, AL"	"01069"	"Jan., 2022 (provisional)"	"2022/01"	149	Not Applicable	Not Applicable
	"Houston County, AL"	"01069"	"Feb., 2022 (provisional)"	"2022/02"	134	Not Applicable	Not Applicable
	"Houston County, AL"	"01069"	"Mar., 2022 (provisional)"	"2022/03"	114	Not Applicable	Not Applicable
	"Houston County, AL"	"01069"	"Apr., 2022 (provisional and partial)"	"2022/04"	54	Not Applicable	Not Applicable
	"Jackson County, AL"	"01071"	"Jan., 2022 (provisional)"	"2022/01"	102	Not Applicable	Not Applicable
	"Jackson County, AL"	"01071"	"Feb., 2022 (provisional)"	"2022/02"	78	Not Applicable	Not Applicable
	"Jackson County, AL"	"01071"	"Mar., 2022 (provisional)"	"2022/03"	71	Not Applicable	Not Applicable
	"Jackson County, AL"	"01071"	"Apr., 2022 (provisional and partial)"	"2022/04"	31	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Jan., 2022 (provisional)"	"2022/01"	855	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Feb., 2022 (provisional)"	"2022/02"	705	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Mar., 2022 (provisional)"	"2022/03"	524	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Apr., 2022 (provisional and partial)"	"2022/04"	160	Not Applicable	Not Applicable
	"Lamar County, AL"	"01075"	"Jan., 2022 (provisional)"	"2022/01"	33	Not Applicable	Not Applicable
	"Lamar County, AL"	"01075"	"Feb., 2022 (provisional)"	"2022/02"	22	Not Applicable	Not Applicable
	"Lamar County, AL"	"01075"	"Mar., 2022 (provisional)"	"2022/03"	22	Not Applicable	Not Applicable
	"Lauderdale County, AL"	"01077"	"Jan., 2022 (provisional)"	"2022/01"	148	Not Applicable	Not Applicable
	"Lauderdale County, AL"	"01077"	"Feb., 2022 (provisional)"	"2022/02"	126	Not Applicable	Not Applicable
	"Lauderdale County, AL"	"01077"	"Mar., 2022 (provisional)"	"2022/03"	113	Not Applicable	Not Applicable
	"Lauderdale County, AL"	"01077"	"Apr., 2022 (provisional and partial)"	"2022/04"	34	Not Applicable	Not Applicable
	"Lawrence County, AL"	"01079"	"Jan., 2022 (provisional)"	"2022/01"	56	Not Applicable	Not Applicable
	"Lawrence County, AL"	"01079"	"Feb., 2022 (provisional)"	"2022/02"	41	Not Applicable	Not Applicable
	"Lawrence County, AL"	"01079"	"Mar., 2022 (provisional)"	"2022/03"	41	Not Applicable	Not Applicable
	"Lawrence County, AL"	"01079"	"Apr., 2022 (provisional and partial)"	"2022/04"	19	Not Applicable	Not Applicable
	"Lee County, AL"	"01081"	"Jan., 2022 (provisional)"	"2022/01"	180	Not Applicable	Not Applicable
	"Lee County, AL"	"01081"	"Feb., 2022 (provisional)"	"2022/02"	126	Not Applicable	Not Applicable
	"Lee County, AL"	"01081"	"Mar., 2022 (provisional)"	"2022/03"	97	Not Applicable	Not Applicable
	"Lee County, AL"	"01081"	"Apr., 2022 (provisional and partial)"	"2022/04"	35	Not Applicable	Not Applicable
	"Limestone County, AL"	"01083"	"Jan., 2022 (provisional)"	"2022/01"	118	Not Applicable	Not Applicable
	"Limestone County, AL"	"01083"	"Feb., 2022 (provisional)"	"2022/02"	137	Not Applicable	Not Applicable
	"Limestone County, AL"	"01083"	"Mar., 2022 (provisional)"	"2022/03"	84	Not Applicable	Not Applicable
	"Limestone County, AL"	"01083"	"Apr., 2022 (provisional and partial)"	"2022/04"	50	Not Applicable	Not Applicable
	"Lowndes County, AL"	"01085"	"Jan., 2022 (provisional)"	"2022/01"	21	Not Applicable	Not Applicable
	"Lowndes County, AL"	"01085"	"Feb., 2022 (provisional)"	"2022/02"	19	Not Applicable	Not Applicable
	"Lowndes County, AL"	"01085"	"Mar., 2022 (provisional)"	"2022/03"	13	Not Applicable	Not Applicable
	"Macon County, AL"	"01087"	"Jan., 2022 (provisional)"	"2022/01"	27	Not Applicable	Not Applicable
	"Macon County, AL"	"01087"	"Feb., 2022 (provisional)"	"2022/02"	24	Not Applicable	Not Applicable
	"Macon County, AL"	"01087"	"Mar., 2022 (provisional)"	"2022/03"	25	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"Jan., 2022 (provisional)"	"2022/01"	415	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"Feb., 2022 (provisional)"	"2022/02"	360	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"Mar., 2022 (provisional)"	"2022/03"	272	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"Apr., 2022 (provisional and partial)"	"2022/04"	112	Not Applicable	Not Applicable
	"Marengo County, AL"	"01091"	"Jan., 2022 (provisional)"	"2022/01"	24	Not Applicable	Not Applicable
	"Marengo County, AL"	"01091"	"Feb., 2022 (provisional)"	"2022/02"	31	Not Applicable	Not Applicable
	"Marengo County, AL"	"01091"	"Mar., 2022 (provisional)"	"2022/03"	18	Not Applicable	Not Applicable
	"Marion County, AL"	"01093"	"Jan., 2022 (provisional)"	"2022/01"	47	Not Applicable	Not Applicable
	"Marion County, AL"	"01093"	"Feb., 2022 (provisional)"	"2022/02"	48	Not Applicable	Not Applicable
	"Marion County, AL"	"01093"	"Mar., 2022 (provisional)"	"2022/03"	38	Not Applicable	Not Applicable
	"Marshall County, AL"	"01095"	"Jan., 2022 (provisional)"	"2022/01"	110	Not Applicable	Not Applicable
	"Marshall County, AL"	"01095"	"Feb., 2022 (provisional)"	"2022/02"	139	Not Applicable	Not Applicable
	"Marshall County, AL"	"01095"	"Mar., 2022 (provisional)"	"2022/03"	96	Not Applicable	Not Applicable
	"Marshall County, AL"	"01095"	"Apr., 2022 (provisional and partial)"	"2022/04"	52	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Jan., 2022 (provisional)"	"2022/01"	551	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Feb., 2022 (provisional)"	"2022/02"	444	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Mar., 2022 (provisional)"	"2022/03"	361	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Apr., 2022 (provisional and partial)"	"2022/04"	143	Not Applicable	Not Applicable
	"Monroe County, AL"	"01099"	"Jan., 2022 (provisional)"	"2022/01"	39	Not Applicable	Not Applicable
	"Monroe County, AL"	"01099"	"Feb., 2022 (provisional)"	"2022/02"	21	Not Applicable	Not Applicable
	"Monroe County, AL"	"01099"	"Mar., 2022 (provisional)"	"2022/03"	21	Not Applicable	Not Applicable
	"Montgomery County, AL"	"01101"	"Jan., 2022 (provisional)"	"2022/01"	274	Not Applicable	Not Applicable
	"Montgomery County, AL"	"01101"	"Feb., 2022 (provisional)"	"2022/02"	221	Not Applicable	Not Applicable
	"Montgomery County, AL"	"01101"	"Mar., 2022 (provisional)"	"2022/03"	173	Not Applicable	Not Applicable
	"Montgomery County, AL"	"01101"	"Apr., 2022 (provisional and partial)"	"2022/04"	49	Not Applicable	Not Applicable
	"Morgan County, AL"	"01103"	"Jan., 2022 (provisional)"	"2022/01"	176	Not Applicable	Not Applicable
	"Morgan County, AL"	"01103"	"Feb., 2022 (provisional)"	"2022/02"	164	Not Applicable	Not Applicable
	"Morgan County, AL"	"01103"	"Mar., 2022 (provisional)"	"2022/03"	144	Not Applicable	Not Applicable
	"Morgan County, AL"	"01103"	"Apr., 2022 (provisional and partial)"	"2022/04"	39	Not Applicable	Not Applicable
	"Perry County, AL"	"01105"	"Jan., 2022 (provisional)"	"2022/01"	19	Not Applicable	Not Applicable
	"Perry County, AL"	"01105"	"Feb., 2022 (provisional)"	"2022/02"	11	Not Applicable	Not Applicable
	"Perry County, AL"	"01105"	"Mar., 2022 (provisional)"	"2022/03"	15	Not Applicable	Not Applicable
	"Pickens County, AL"	"01107"	"Jan., 2022 (provisional)"	"2022/01"	30	Not Applicable	Not Applicable
	"Pickens County, AL"	"01107"	"Feb., 2022 (provisional)"	"2022/02"	23	Not Applicable	Not Applicable
	"Pickens County, AL"	"01107"	"Mar., 2022 (provisional)"	"2022/03"	15	Not Applicable	Not Applicable
	"Pike County, AL"	"01109"	"Jan., 2022 (provisional)"	"2022/01"	44	Not Applicable	Not Applicable
	"Pike County, AL"	"01109"	"Feb., 2022 (provisional)"	"2022/02"	44	Not Applicable	Not Applicable
	"Pike County, AL"	"01109"	"Mar., 2022 (provisional)"	"2022/03"	27	Not Applicable	Not Applicable
	"Pike County, AL"	"01109"	"Apr., 2022 (provisional and partial)"	"2022/04"	14	Not Applicable	Not Applicable
	"Randolph County, AL"	"01111"	"Jan., 2022 (provisional)"	"2022/01"	46	Not Applicable	Not Applicable
	"Randolph County, AL"	"01111"	"Feb., 2022 (provisional)"	"2022/02"	39	Not Applicable	Not Applicable
	"Randolph County, AL"	"01111"	"Mar., 2022 (provisional)"	"2022/03"	25	Not Applicable	Not Applicable
	"Randolph County, AL"	"01111"	"Apr., 2022 (provisional and partial)"	"2022/04"	12	Not Applicable	Not Applicable
	"Russell County, AL"	"01113"	"Jan., 2022 (provisional)"	"2022/01"	82	Not Applicable	Not Applicable
	"Russell County, AL"	"01113"	"Feb., 2022 (provisional)"	"2022/02"	65	Not Applicable	Not Applicable
	"Russell County, AL"	"01113"	"Mar., 2022 (provisional)"	"2022/03"	66	Not Applicable	Not Applicable
	"Russell County, AL"	"01113"	"Apr., 2022 (provisional and partial)"	"2022/04"	16	Not Applicable	Not Applicable
	"St. Clair County, AL"	"01115"	"Jan., 2022 (provisional)"	"2022/01"	130	Not Applicable	Not Applicable
	"St. Clair County, AL"	"01115"	"Feb., 2022 (provisional)"	"2022/02"	126	Not Applicable	Not Applicable
	"St. Clair County, AL"	"01115"	"Mar., 2022 (provisional)"	"2022/03"	107	Not Applicable	Not Applicable
	"St. Clair County, AL"	"01115"	"Apr., 2022 (provisional and partial)"	"2022/04"	40	Not Applicable	Not Applicable
	"Shelby County, AL"	"01117"	"Jan., 2022 (provisional)"	"2022/01"	189	Not Applicable	Not Applicable
	"Shelby County, AL"	"01117"	"Feb., 2022 (provisional)"	"2022/02"	204	Not Applicable	Not Applicable
	"Shelby County, AL"	"01117"	"Mar., 2022 (provisional)"	"2022/03"	147	Not Applicable	Not Applicable
	"Shelby County, AL"	"01117"	"Apr., 2022 (provisional and partial)"	"2022/04"	49	Not Applicable	Not Applicable
	"Sumter County, AL"	"01119"	"Jan., 2022 (provisional)"	"2022/01"	20	Not Applicable	Not Applicable
	"Sumter County, AL"	"01119"	"Mar., 2022 (provisional)"	"2022/03"	11	Not Applicable	Not Applicable
	"Talladega County, AL"	"01121"	"Jan., 2022 (provisional)"	"2022/01"	123	Not Applicable	Not Applicable
	"Talladega County, AL"	"01121"	"Feb., 2022 (provisional)"	"2022/02"	108	Not Applicable	Not Applicable
	"Talladega County, AL"	"01121"	"Mar., 2022 (provisional)"	"2022/03"	84	Not Applicable	Not Applicable
	"Talladega County, AL"	"01121"	"Apr., 2022 (provisional and partial)"	"2022/04"	27	Not Applicable	Not Applicable
	"Tallapoosa County, AL"	"01123"	"Jan., 2022 (provisional)"	"2022/01"	55	Not Applicable	Not Applicable
	"Tallapoosa County, AL"	"01123"	"Feb., 2022 (provisional)"	"2022/02"	64	Not Applicable	Not Applicable
	"Tallapoosa County, AL"	"01123"	"Mar., 2022 (provisional)"	"2022/03"	56	Not Applicable	Not Applicable
	"Tallapoosa County, AL"	"01123"	"Apr., 2022 (provisional and partial)"	"2022/04"	22	Not Applicable	Not Applicable
	"Tuscaloosa County, AL"	"01125"	"Jan., 2022 (provisional)"	"2022/01"	235	Not Applicable	Not Applicable
	"Tuscaloosa County, AL"	"01125"	"Feb., 2022 (provisional)"	"2022/02"	211	Not Applicable	Not Applicable
	"Tuscaloosa County, AL"	"01125"	"Mar., 2022 (provisional)"	"2022/03"	165	Not Applicable	Not Applicable
	"Tuscaloosa County, AL"	"01125"	"Apr., 2022 (provisional and partial)"	"2022/04"	57	Not Applicable	Not Applicable
	"Walker County, AL"	"01127"	"Jan., 2022 (provisional)"	"2022/01"	123	Not Applicable	Not Applicable
	"Walker County, AL"	"01127"	"Feb., 2022 (provisional)"	"2022/02"	109	Not Applicable	Not Applicable
	"Walker County, AL"	"01127"	"Mar., 2022 (provisional)"	"2022/03"	74	Not Applicable	Not Applicable
	"Walker County, AL"	"01127"	"Apr., 2022 (provisional and partial)"	"2022/04"	21	Not Applicable	Not Applicable
	"Washington County, AL"	"01129"	"Jan., 2022 (provisional)"	"2022/01"	26	Not Applicable	Not Applicable
	"Washington County, AL"	"01129"	"Feb., 2022 (provisional)"	"2022/02"	19	Not Applicable	Not Applicable
	"Washington County, AL"	"01129"	"Mar., 2022 (provisional)"	"2022/03"	24	Not Applicable	Not Applicable
	"Wilcox County, AL"	"01131"	"Jan., 2022 (provisional)"	"2022/01"	19	Not Applicable	Not Applicable
	"Wilcox County, AL"	"01131"	"Feb., 2022 (provisional)"	"2022/02"	17	Not Applicable	Not Applicable
	"Wilcox County, AL"	"01131"	"Mar., 2022 (provisional)"	"2022/03"	18	Not Applicable	Not Applicable
	"Winston County, AL"	"01133"	"Jan., 2022 (provisional)"	"2022/01"	52	Not Applicable	Not Applicable
	"Winston County, AL"	"01133"	"Feb., 2022 (provisional)"	"2022/02"	30	Not Applicable	Not Applicable
	"Winston County, AL"	"01133"	"Mar., 2022 (provisional)"	"2022/03"	41	Not Applicable	Not Applicable
	"Winston County, AL"	"01133"	"Apr., 2022 (provisional and partial)"	"2022/04"	11	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	"Jan., 2022 (provisional)"	"2022/01"	212	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	"Feb., 2022 (provisional)"	"2022/02"	172	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	"Mar., 2022 (provisional)"	"2022/03"	147	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	"Apr., 2022 (provisional and partial)"	"2022/04"	52	Not Applicable	Not Applicable
	"Bethel Census Area, AK"	"02050"	"Jan., 2022 (provisional)"	"2022/01"	15	Not Applicable	Not Applicable
	"Bethel Census Area, AK"	"02050"	"Feb., 2022 (provisional)"	"2022/02"	16	Not Applicable	Not Applicable
	"Fairbanks North Star Borough, AK"	"02090"	"Jan., 2022 (provisional)"	"2022/01"	62	Not Applicable	Not Applicable
	"Fairbanks North Star Borough, AK"	"02090"	"Feb., 2022 (provisional)"	"2022/02"	42	Not Applicable	Not Applicable
